lr-Adam/geometry,lr-Adam/variance,lr-Adam/albedo,lr-Adam/ambient,lr-Adam/blur,step,train/loss_rgb_mse_cam,train/loss_rgb_mse_proj,train/loss_rgb_l1_cam,train/loss_rgb_l1_proj,train/loss_eikonal,train/loss_mask,train/loss_sparsity,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_sparsity,train/num_rays,epoch,val/psnr,test/psnr
,,,,,2999,3.338245005579665e-05,1.8607366655487567e-05,0.0015949973603710532,0.0012682031374424696,0.01591021567583084,0.0033478052355349064,0.9750404357910156,607.3567504882812,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.000431294775676266,0.000431294775676266,0.004312947756762661,0.004312947756762661,0.004312947756762661,3049,,,,,,,,,,,,,,,,,
,,,,,3049,2.737317481660284e-05,1.4128970178717282e-05,0.0014783970545977354,0.0009909861255437136,0.015074610710144043,0.004071098752319813,0.9751729965209961,618.893798828125,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.00042609951475529594,0.00042609951475529594,0.0042609951475529595,0.0042609951475529595,0.0042609951475529595,3099,,,,,,,,,,,,,,,,,
,,,,,3099,3.0547416827175766e-05,1.956767482624855e-05,0.0016051834682002664,0.0011304339859634638,0.01477650087326765,0.002993254456669092,0.9751805663108826,639.4290161132812,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.00042096683455071537,0.00042096683455071537,0.004209668345507157,0.004209668345507157,0.004209668345507157,3149,,,,,,,,,,,,,,,,,
,,,,,3149,2.8469939934439026e-05,1.9888680981239304e-05,0.0015536161372438073,0.0011963880388066173,0.014812333509325981,0.004161842633038759,0.9755179286003113,652.3817138671875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.0004158959812320388,0.0004158959812320388,0.004158959812320392,0.004158959812320392,0.004158959812320392,3199,,,,,,,,,,,,,,,,,
,,,,,3199,2.8306341846473515e-05,1.6476857126690447e-05,0.0015428806655108929,0.0011438066139817238,0.014497543685138226,0.005269969813525677,0.9755178093910217,653.3477783203125,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.0004108862100492197,0.0004108862100492197,0.004108862100492199,0.004108862100492199,0.004108862100492199,3249,,,,,,,,,,,,,,,,,
,,,,,3249,3.346022640471347e-05,1.4870952327328268e-05,0.001665684161707759,0.0010687254834920168,0.014283732511103153,0.002932833507657051,0.975372850894928,663.7140502929688,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,8192.0,0,,
0.00040593678522327065,0.00040593678522327065,0.0040593678522327075,0.0040593678522327075,0.0040593678522327075,3299,,,,,,,,,,,,,,,,,
